Dia,Tempo,Temperatura,Umidade,Vento,Jogar
d1,Ensolarado,Quente,Alta,Fraco,Nao
d2,Ensolarado,Quente,Alta,Forte,Nao
d3,Nublado,Quente,Alta,Fraco,Sim
d4,Chuva,Amena,Alta,Fraco,Sim
d5,Chuva,Fresca,Normal,Fraco,Sim
d6,Chuva,Fresca,Normal,Forte,Nao
d7,Nublado,Fresca,Normal,Forte,Sim
d8,Ensolarado,Amena,Alta,Fraco,Nao
d9,Ensolarado,Fresca,Normal,Fraco,Sim
d10,Chuva,Amena,Normal,Fraco,Sim
d11,Ensolarado,Amena,Normal,Forte,Sim
d12,Nublado,Amena,Alta,Forte,Sim
d13,Nublado,Quente,Normal,Fraco,Sim
d14,Chuva,Amena,Alta,Forte,Nao
